MSN,YYYYMM,Value,Column_Order,Description,Unit
CLIMBUS,199012,.006691,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199013,.067485,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199101,.006585,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199102,.010714,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199103,.006149,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199104,.004957,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199105,.00619,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199106,.007104,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199107,.008712,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199108,.006211,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199109,.00968,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199110,.00535,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199111,.007456,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199112,.005636,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199113,.084745,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199201,.006811,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199202,.005336,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199203,.004824,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199204,.005972,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199205,.008468,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199206,.011644,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199207,.009051,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199208,.004925,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199209,.008073,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199210,.011763,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199211,.009422,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199212,.00878,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199213,.095069,"1","Coal Imports","Quadrillion Btu"
